filename,slice_index,notes,notes_1,notes_2
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,3.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,4.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,5.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,6.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,7.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,8.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,9.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,10.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,11.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,12.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,13.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,14.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,15.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,16.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,17.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,18.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,19.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,20.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,21.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,22.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,23.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,24.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,25.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,26.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,27.0,,Model Classified,
demo/isometric_dti_fmri/LC_Townes_0002_MUS00045155_1/dwi/dwi_b0.nii.gz,28.0,,Model Classified,
